timestamp,target_yaw_angle,current_yaw_angle,frequency
1747156799276336,60094,112401,0.100085
1747156799372336,60245,108204,0.100214
1747156799473336,60452,104048,0.100349
1747156799573336,60657,99960,0.100483
1747156799674336,60823,95806,0.100619
1747156799773336,61023,91775,0.100752
1747156799874336,61183,87614,0.100888
1747156799973336,61374,83568,0.101022
1747156800072336,61391,79492,0.104129
1747156800172336,61391,75414,0.104129
1747156800272336,61391,71292,0.104129
1747156800372336,61391,67219,0.104129
1747156800472336,61391,63102,0.104129
1747156800572336,61391,61459,0.104129
1747156800672336,61391,61416,0.104129
1747156800772336,61391,61391,0.104129
1747156800872336,61391,61390,0.104129
1747156800972336,61391,61390,0.10413
1747156801072336,61391,61389,0.10413
1747156801172336,61391,61390,0.10413
1747156801272336,61391,61390,0.10413
1747156801372336,61391,61390,0.10413
1747156801472336,61391,61390,0.10413
1747156801572336,61391,61390,0.10413
1747156801672336,61391,61390,0.10413
1747156801772336,61391,61390,0.10413
1747156801872336,61391,61390,0.10413
1747156801972336,61391,61391,0.10413
1747156802072336,61391,61391,0.10413
1747156802172336,61391,61390,0.104131
1747156802273336,62732,61885,0.104174
1747156802373336,62651,62657,0.104314
1747156802473336,62538,62567,0.104453
1747156802573336,62435,62467,0.104593
1747156802673336,62295,62325,0.104733
1747156802773336,62157,62183,0.104873
1747156802873336,62023,62035,0.105013
1747156802973336,61849,61875,0.105153
1747156803073336,61698,61751,0.105294
1747156803173336,61504,61547,0.105435
1747156803273336,61338,61382,0.105576
1747156803373336,61127,61161,0.105717
1747156803473336,60929,60987,0.105858
1747156803573336,60747,60811,0.106
1747156803673336,60519,60550,0.106142
1747156803773336,60330,60387,0.106283
1747156803873336,60097,60150,0.106426
1747156803973336,59884,59983,0.106568
1747156804073336,59671,59692,0.10671
1747156804173336,59458,59537,0.106853
1747156804273336,59269,59298,0.106996
1747156804373336,59042,59116,0.107139
1747156804473336,58860,58870,0.107282
1747156804573336,58643,58699,0.107426
1747156804672336,58491,58510,0.107568
1747156804773336,58289,58348,0.107713
1747156804873336,58097,58143,0.107857
1747156804973336,57949,57967,0.108001
1747156805073336,57780,57793,0.108146
1747156805173336,57651,57707,0.10829
1747156805273336,57508,57547,0.108435
1747156805372336,57403,57417,0.108577
1747156805473336,57299,57325,0.108725
1747156805573336,57202,57199,0.10887
1747156805673336,57136,57158,0.109015
1747156805773336,57072,57079,0.109161
1747156805872336,57042,57043,0.109305
