timestamp,target_yaw_angle,current_yaw_angle
3985050,116450,116450
3994050,116450,116450
4003050,30000,116450
4012050,30000,116325
4022050,30000,115911
4032050,30000,115489
4042050,30000,115064
4052050,30000,114663
4062050,30000,114259
4072050,30000,113858
4082050,30000,113440
4092050,30000,113005
4102050,30000,112584
4112050,30000,112146
4122050,30000,111720
4132050,30000,111283
4142050,30000,110878
4152050,30000,110470
4162050,30000,110072
4172050,30000,109670
4182050,30000,109239
4192050,30000,108815
4202050,30000,108386
4212050,30000,107963
4222050,30000,107521
4232050,30000,107100
4242050,30000,106683
4252050,30000,106284
4262050,30000,105876
4272050,30000,105474
4282050,30000,105042
4292050,30000,104617
4302050,30000,104185
4312050,30000,103748
4322050,30000,103322
4332050,30000,102893
4342050,30000,102497
4352050,30000,102083
4362050,30000,101694
4372050,30000,101271
4382050,30000,100845
4392050,30000,100413
4402050,30000,99994
4412050,30000,99556
4422050,30000,99132
4432050,30000,98712
4442050,30000,98308
4452050,30000,97903
4462050,30000,97504
4472050,30000,97085
4482050,30000,96651
4492050,30000,96226
4502050,30000,95788
4512050,30000,95364
4522050,30000,94926
4532050,30000,94521
4542050,30000,94113
4552050,30000,93712
4562050,30000,93315
4572050,30000,92882
4582050,30000,92459
4592050,30000,92030
4602050,30000,91608
4612050,30000,91167
4622050,30000,90746
4632050,30000,90325
4642050,30000,89924
4652050,30000,89517
4662050,30000,89113
4672050,30000,88684
4682050,30000,88260
4692050,30000,87827
4702050,30000,87394
4712050,30000,86965
4722050,30000,86532
4732050,30000,86136
4742050,30000,85725
4752050,30000,85332
4762050,30000,84922
4772050,30000,84486
4782050,30000,84061
4792050,30000,83637
4802050,30000,83202
4812050,30000,82776
4822050,30000,82345
4832050,30000,81940
4842050,30000,81535
4852050,30000,81134
4862050,30000,80719
4872050,30000,80284
4882050,30000,79859
4892050,30000,79425
4902050,30000,79000
4912050,30000,78562
4922050,30000,78151
4932050,30000,77744
4942050,30000,77344
4952050,30000,76948
4962050,30000,76516
4972050,30000,76093
4982050,30000,75665
4992050,30000,75242
5002050,30000,74801
5012050,30000,74380
5022050,30000,73958
5032050,30000,73558
5042050,30000,73154
5052050,30000,72747
5062050,30000,72320
5072050,30000,71892
5082050,30000,71461
5092050,30000,71029
5102050,30000,70598
5112050,30000,70164
5122050,30000,69769
5132050,30000,69360
5142050,30000,68967
5152050,30000,68556
5162050,30000,68122
5172050,30000,67700
5182050,30000,67274
5192050,30000,66844
5202050,30000,66409
5212050,30000,65979
5222050,30000,65574
5232050,30000,65170
5242050,30000,64768
5252050,30000,64356
5262050,30000,63919
5272050,30000,63492
5282050,30000,63060
5292050,30000,62633
5302050,30000,62198
5312050,30000,61787
5322050,30000,61383
5332050,30000,60976
5342050,30000,60584
5352050,30000,60150
5362050,30000,59730
5372050,30000,59300
5382050,30000,58881
5392050,30000,58439
5402050,30000,58017
5412050,30000,57594
5422050,30000,57193
5432050,30000,56789
5442050,30000,56380
5452050,30000,55959
5462050,30000,55525
5472050,30000,55101
5482050,30000,54661
5492050,30000,54232
5502050,30000,53798
5512050,30000,53402
5522050,30000,52993
5532050,30000,52602
5542050,30000,52189
5552050,30000,51756
5562050,30000,51334
5572050,30000,50907
5582050,30000,50478
5592050,30000,50043
5602050,30000,49616
5612050,30000,49209
5622050,30000,48807
5632050,30000,48402
5642050,30000,47995
5652050,30000,47556
5662050,30000,47134
5672050,30000,46698
5682050,30000,46270
5692050,30000,45834
5702050,30000,45422
5712050,30000,45019
5722050,30000,44614
5732050,30000,44223
5742050,30000,43792
5752050,30000,43371
5762050,30000,42938
5772050,30000,42522
5782050,30000,42080
5792050,30000,41658
5802050,30000,41233
5812050,30000,40833
5822050,30000,40427
5832050,30000,40023
5842050,30000,39598
5852050,30000,39165
5862050,30000,38743
5872050,30000,38306
5882050,30000,37880
5892050,30000,37446
5902050,30000,37047
5912050,30000,36635
5922050,30000,36246
5932050,30000,35831
5942050,30000,35403
5952050,30000,34977
5962050,30000,34553
5972050,30000,34125
5982050,30000,33687
5992050,30000,33262
6002050,30000,32851
6012050,30000,32452
6022050,30000,32048
6032050,30000,31635
6042050,30000,31196
6052050,30000,30775
6062050,30000,30335
6072050,30000,29911
6082050,30000,29477
6092050,30000,29060
6102050,30000,28661
6112050,30000,28253
6122050,30000,27866
6132050,30000,27434
6142050,30000,27010
6152050,30000,26582
6162050,30000,26162
6172050,30000,25723
6182050,30000,25299
6192050,30000,24870
6202050,30000,24508
6212050,30000,24300
6222050,30000,24377
6232050,30000,24729
6242050,30000,25138
6252050,30000,25560
6262050,30000,25984
6272050,30000,26414
6282050,30000,26835
6292050,30000,27273
6302050,30000,27709
6312050,30000,28122
6322050,30000,28521
6332050,30000,28928
6342050,30000,29325
6352050,30000,29748
6362050,30000,30104
6372050,30000,30232
6382050,30000,30181
6392050,30000,30106
6402050,30000,30072
6412050,30000,30063
6422050,30000,30063
6432050,30000,30056
6442050,30000,30050
6452050,30000,30049
6462050,30000,30045
6472050,30000,30034
6482050,30000,30023
6492050,30000,30018
6502050,30000,30018
6512050,30000,30018
6522050,30000,30017
6532050,30000,30016
6542050,30000,30014
6552050,30000,30014
6562050,30000,30013
6572050,30000,30012
6582050,30000,30012
6592050,30000,30011
6602050,30000,30010
6612050,30000,30009
6622050,30000,30009
6632050,30000,30008
6642050,30000,30006
6652050,30000,30002
6663050,30000,29998
6672050,30000,29994
6682050,30000,29992
6692050,30000,29992
6702050,30000,29992
6712050,30000,29992
6722050,30000,29992
6732050,30000,29992
6742050,30000,29992
6752050,30000,29993
6762050,30000,29993
6772050,30000,29993
6782050,30000,29993
6792050,30000,29993
6802050,30000,29993
6812050,30000,29993
6822050,30000,29993
6832050,30000,29993
6842050,30000,29993
6852050,30000,29994
6862050,30000,29993
6872050,30000,29993
6882050,30000,29994
6892050,30000,29994
6902050,30000,29994
6912050,30000,29994
6922050,30000,29994
6932050,30000,29994
6942050,30000,29994
6952050,30000,29994
6962050,30000,29994
6972050,30000,29994
6982050,30000,29995
6992050,30000,29995
7002050,30000,29995
7012050,30000,29995
7022050,30000,29995
7032050,30000,29995
7042050,30000,29995
7052050,30000,29995
7062050,30000,29995
7072050,30000,29995
7082050,30000,29995
7092050,30000,29995
7102050,30000,29995
7112050,30000,29995
7122050,30000,29995
7132050,30000,29995
7142050,30000,29996
7152050,30000,29996
7162050,30000,29997
7172050,30000,29997
7182050,30000,29997
7192050,30000,29997
7202050,30000,29997
7212050,30000,29997
7222050,30000,29998
7232050,30000,29998
7242050,30000,29997
7252050,30000,29998
7262050,30000,29998
7272050,30000,29998
7282050,30000,29998
7292050,30000,29998
7302050,30000,29997
7312050,30000,29998
7322050,30000,29998
7332050,30000,29998
7342050,30000,29998
7352050,30000,29998
7362050,30000,29998
7372050,30000,29998
7382050,30000,29998
7392050,30000,29999
7402050,30000,29999
7412050,30000,29998
7422050,30000,29999
7432050,30000,29999
7442050,30000,29999
7452050,30000,29999
7462050,30000,29999
7472050,30000,29999
7482050,30000,29998
7492050,30000,29999
7502050,30000,29998
7512050,30000,29999
7522050,30000,29999
7532050,30000,29999
7542050,30000,29999
7552050,30000,29999
7562050,30000,29999
7572050,30000,29999
7582050,30000,29999
7592050,30000,29999
7602050,30000,30000
7612050,30000,29999
7622050,30000,30000
7632050,30000,30000
7642050,30000,29999
7652050,30000,29999
7662050,30000,29999
7672050,30000,30000
7682050,30000,29999
7692050,30000,30000
7702050,30000,30000
7712050,30000,30000
7722050,30000,30000
7732050,30000,30000
7742050,30000,30000
7752050,30000,30000
7762050,30000,30000
7772050,30000,30000
7782050,30000,30000
7792050,30000,30000
7802050,30000,30000
7812050,30000,30000
7822050,30000,30000
7832050,30000,30000
7842050,30000,30000
7852050,30000,30000
7862050,30000,30000
7872050,30000,30000
7882050,30000,30000
7892050,30000,30000
7902050,30000,30000
7912050,30000,30000
7922050,30000,30000
7932050,30000,30000
7942050,30000,30000
7952050,30000,30000
7962050,30000,30000
7972050,30000,30000
7982050,30000,30000
7992050,30000,30000
8002050,30000,30000
8012050,30000,30000
8022050,30000,30000
8032050,30000,30000
8042050,30000,30000
8052050,30000,30000
8062050,30000,30000
8072050,30000,30000
8082050,30000,30000
8092050,30000,30000
8102050,30000,30000
8112050,30000,30000
8122050,30000,30000
8132050,30000,30000
8142050,30000,30000
8152050,30000,30000
8162050,30000,30000
8172050,30000,30000
8182050,30000,30000
8192050,30000,30000
8202050,30000,30000
8212050,30000,30000
8222050,30000,30000
8232050,30000,30000
8242050,30000,30000
8252050,30000,30000
8262050,30000,30000
8272050,30000,30000
8282050,30000,30000
8292050,30000,30000
8302050,30000,30000
8312050,30000,30000
8322050,30000,30000
8332050,30000,30000
